✅ 使用阿里云百炼（通义千问）API
✅ AI 客户端初始化成功 - 提供商: DashScope

==================================================
🚀 视频播放器后端服务已启动
==================================================
📡 服务地址: http://localhost:3000
🤖 AI 提供商: DashScope
📝 API 文档:
   - GET  /api/health              健康检查
   - GET  /api/moments             获取动态列表
   - POST /api/moments             发布新动态
   - POST /api/moments/:id/like    点赞/取消点赞
   - POST /api/moments/:id/comments 发表评论
==================================================

✅ 初始数据已加载
2025-11-24T03:56:20.682Z - GET /api/moments
2025-11-24T03:56:24.851Z - GET /api/moments
2025-11-24T03:56:25.682Z - GET /api/moments
2025-11-24T03:56:30.682Z - GET /api/moments
2025-11-24T03:56:35.682Z - GET /api/moments
2025-11-24T03:56:40.682Z - GET /api/moments
2025-11-24T03:56:45.682Z - GET /api/moments
2025-11-24T03:56:50.682Z - GET /api/moments
2025-11-24T03:56:55.682Z - GET /api/moments
2025-11-24T03:57:00.682Z - GET /api/moments
2025-11-24T03:57:05.682Z - GET /api/moments
2025-11-24T03:57:10.682Z - GET /api/moments
2025-11-24T03:57:15.682Z - GET /api/moments
2025-11-24T03:57:20.682Z - GET /api/moments
2025-11-24T03:57:24.850Z - GET /api/moments
2025-11-24T03:57:25.682Z - GET /api/moments
2025-11-24T03:57:30.682Z - GET /api/moments
2025-11-24T03:57:35.682Z - GET /api/moments
2025-11-24T03:57:40.682Z - GET /api/moments
2025-11-24T03:57:45.682Z - GET /api/moments
2025-11-24T03:57:50.682Z - GET /api/moments
2025-11-24T03:57:55.682Z - GET /api/moments
2025-11-24T03:58:00.682Z - GET /api/moments
2025-11-24T03:58:05.682Z - GET /api/moments
2025-11-24T03:58:10.682Z - GET /api/moments
2025-11-24T03:58:15.682Z - GET /api/moments
2025-11-24T03:58:20.682Z - GET /api/moments
2025-11-24T03:58:24.851Z - GET /api/moments
2025-11-24T03:58:25.682Z - GET /api/moments
2025-11-24T03:58:30.683Z - GET /api/moments
2025-11-24T03:58:35.682Z - GET /api/moments
2025-11-24T03:58:40.682Z - GET /api/moments
2025-11-24T03:58:45.682Z - GET /api/moments
2025-11-24T03:58:50.682Z - GET /api/moments
2025-11-24T03:58:55.850Z - GET /api/moments
2025-11-24T03:59:00.851Z - GET /api/moments
2025-11-24T03:59:05.851Z - GET /api/moments
2025-11-24T03:59:10.851Z - GET /api/moments
2025-11-24T03:59:15.852Z - GET /api/moments
2025-11-24T03:59:20.851Z - GET /api/moments
2025-11-24T03:59:24.851Z - GET /api/moments
2025-11-24T03:59:25.851Z - GET /api/moments
2025-11-24T03:59:30.850Z - GET /api/moments
2025-11-24T03:59:35.851Z - GET /api/moments
2025-11-24T03:59:40.851Z - GET /api/moments
2025-11-24T03:59:45.851Z - GET /api/moments
2025-11-24T03:59:50.851Z - GET /api/moments
2025-11-24T04:00:24.851Z - GET /api/moments
2025-11-24T04:00:24.853Z - GET /api/moments
2025-11-24T04:00:39.098Z - GET /api/moments
2025-11-24T04:00:43.118Z - GET /api/moments
2025-11-24T04:00:48.119Z - GET /api/moments
2025-11-24T04:00:53.118Z - GET /api/moments
2025-11-24T04:00:58.118Z - GET /api/moments
2025-11-24T04:01:03.119Z - GET /api/moments
2025-11-24T04:01:08.129Z - GET /api/moments
2025-11-24T04:01:11.360Z - POST /api/moments/1/comments
✅ 新评论已添加: 1
🎯 触发AI回复 - 动态ID: 1
🎲 本次不触发AI回复 (概率: 0.7)
2025-11-24T04:01:11.372Z - GET /api/moments
2025-11-24T04:01:13.119Z - GET /api/moments
2025-11-24T04:01:18.119Z - GET /api/moments
2025-11-24T04:01:23.118Z - GET /api/moments
2025-11-24T04:01:24.851Z - GET /api/moments
2025-11-24T04:01:28.118Z - GET /api/moments
2025-11-24T04:01:33.118Z - GET /api/moments
